PMID	Sample Type	Journal	Article Title	Abstract	Number of samples/patients
38749891	fecal 16S	Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society	Impact of extended Elexacaftor/Tezacaftor/Ivacaftor therapy on the gut microbiome in cystic fibrosis.	"There is a paucity of knowledge on the longer-term effects of CF transmembrane conductance regulator (CFTR) modulator therapies upon the gut microbiome and associated outcomes. In a pilot study, we investigated longitudinal Elexacaftor/Tezacaftor/Ivacaftor (ETI) therapy on the gut microbiota, metabolomic functioning, and clinical outcomes in people with CF (pwCF). Faecal samples from 20 pwCF were acquired before and then following 3, 6, and 17+ months of ETI therapy. Samples were subjected to microbiota sequencing and targeted metabolomics to profile and quantify short-chain fatty acid composition. Ten healthy matched controls were included for comparison. Clinical data, including markers of intestinal function were integrated to investigate relationships. Extended ETI therapy increased core microbiota diversity and composition, which translated to gradual shifts in whole microbiota composition towards that observed in healthy controls. Despite becoming more similar over time, CF microbiota and functional metabolite compositions remained significantly different to healthy controls. Antibiotic treatment for pulmonary infection significantly explained a relatively large degree of variation within the whole microbiota and rarer satellite taxa. Clinical outcomes were not significantly different following ETI. Whilst differences persisted, a positive trajectory towards the microbiota observed in healthy controls was found. We posit that progression was predominately impeded by pulmonary antibiotics administration. We recommend future studies use integrated omics approaches within a combination of long-term longitudinal patient studies and model experimental systems. This will deepen our understanding of the impacts of CFTR modulator therapy and respiratory antibiotic interventions upon the gut microbiome and gastrointestinal pathophysiology in CF."	20
27595636	fecal 16S	"Clinical nutrition (Edinburgh, Scotland)"	Associations between micronutrient intakes and gut microbiota in a group of adults with cystic fibrosis.	"Cystic fibrosis (CF) involves chronic inflammation and oxidative stress affecting mainly the respiratory and digestive systems. Survival rates for CF have improved with advances in treatment including nutritional interventions such as micronutrient supplementation. Diet can modulate gut microbiota in the general population with consequences on local and systemic immunity, and inflammation. The gut microbiota appears disrupted and may associate with pulmonary status in CF. This study investigated associations between micronutrient intakes and gut microbiota variations in a group of adults with CF. Faecal microbiota of sixteen free-living adults with CF was profiled by 16ss rDNA sequencing on the GS-FLX platform. Associations were tested between UniFrac distances of faecal microbiota and time-corresponding micronutrient intakes. Associations between relative abundances of bacterial taxa and micronutrient intakes (those showing significant associations with UniFrac distances) were examined by Spearman correlation. Unweighted UniFrac distances were associated with intakes of potassium and antioxidant vitamins C, E and beta-carotene equivalents, whereas weighted UniFrac distances were associated with antioxidant vitamins riboflavin, niacin equivalents, beta-carotene equivalents and vitamin A equivalents. Intakes of beta-carotene equivalents, vitamin C, vitamin E, niacin equivalents and riboflavin correlated negatively with Bacteroides and/or its corresponding higher level taxa. Intakes of beta-carotene equivalents and vitamin E also positively correlated with Firmicutes and specific taxa belonging to Firmicutes. Some micronutrients, particularly antioxidant vitamins, correlated with gut microbiota variations in the studied cohort. Further research is required to clarify whether antioxidant vitamin intakes can influence CF gut microbiota and potential clinical/therapeutic implications in CF."	16
35902830	fecal 16S	BMC pulmonary medicine	Gut Bifidobacteria enrichment following oral Lactobacillus-supplementation is associated with clinical improvements in children with cystic fibrosis.	"Relationships between gut microbiomes and airway immunity have been established in murine and human studies of allergy and asthma. Early life Lactobacillus supplementation alters the composition and metabolic productivity of the gut microbiome. However, little is known of how Lactobacillus supplementation impacts the gut microbiota in children with cystic fibrosis (CF) and whether specific microbiota states that arise following gut microbiome manipulation relate to pulmonary outcomes. Stool samples were collected from CF patients enrolled in a multi-center, double-blind, randomized placebo-controlled trial of daily Lactobacillus rhamnosus strain GG (LGG) probiotic supplementation over a 12-month period. Fecal 16S rRNA biomarker sequencing was used to profile fecal bacterial microbiota and analyses were performed in QiiME. Bifidobacteria-dominated fecal microbiota were more likely to arise in LGG-treated children with CF (P = 0.04). Children with Bifidobacteria-dominated gut microbiota had a reduced rate of pulmonary exacerbations (IRR = 0.55; 95% CI 0.25 to 0.82; P = 0.01), improved pulmonary function (+ 20.00% of predicted value FEV; 95% CI 8.05 to 31.92; P = 0.001), lower intestinal inflammation (Calprotectin; Coef =  - 16.53 μg g feces; 95% CI - 26.80 to - 6.26; P = 0.002) and required fewer antibiotics (IRR = 0.43; 95% CI 0.22 to 0.69; P = 0.04) compared to children with Bacteroides-dominated microbiota who were less likely to have received LGG. The majority of pediatric CF patients in this study possessed a Bacteroides- or Bifidobacteria-dominated gut microbiota. Bifidobacteria-dominated gut microbiota were more likely to be associated with LGG-supplementation and with better clinical outcomes."	
38104000	fecal 16S	Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society	The gut microbiota in adults with cystic fibrosis compared to colorectal cancer.	"Gut dysbiosis is implicated in colorectal cancer (CRC) pathogenesis. Cystic fibrosis (CF) is associated with both gut dysbiosis and increased CRC risk. We therefore compared the faecal microbiota from individuals with CF to CRC and screening samples. We also assessed changes in CRC-associated taxa before and after triple CF transmembrane conductance regulator (CFTR) modulator therapy. Bacterial DNA amplification comprising V4 16S rRNA analysis was conducted on 84 baseline and 53 matched follow-up stool samples from adults with CF. These data were compared to an existing cohort of 430 CRC and 491 control gFOBT samples from the NHS Bowel Cancer Screening Programme. Data were also compared to 26 previously identified CRC-associated taxa from a published meta-analysis. Faecal CF samples had a lower alpha diversity and clustered distinctly from both CRC and control samples, with no clear clinical variables explaining the variation. Compared to controls, CF samples had an increased relative abundance in 6 of the 20 enriched CRC-associated taxa and depletion of 2 of the 6 taxa which have been reported as reduced in CRC. Commencing triple modulator therapy had subtle influence on the relative abundance of CRC-associated microbiota (n = 23 paired CF samples). CF stool samples were clearly dysbiotic, clustering distinctly from both CRC and control samples. Several bacterial shifts in CF samples resembled those observed in CRC. Studies assessing the impact of dietary or other interventions and the longer-term use of CFTR modulators on reducing this potentially pro-oncogenic milieu are needed."	137
31959989	fecal 16S	Nature medicine	Fecal dysbiosis in infants with cystic fibrosis is associated with early linear growth failure.	"Most infants with cystic fibrosis (CF) have pancreatic exocrine insufficiency that results in nutrient malabsorption and requires oral pancreatic enzyme replacement. Newborn screening for CF has enabled earlier diagnosis, nutritional intervention and enzyme replacement for these infants, allowing most infants with CF to achieve their weight goals by 12 months of age. Nevertheless, most infants with CF continue to have poor linear growth during their first year of life. Although this early linear growth failure is associated with worse long-term respiratory function and survival, the determinants of body length in infants with CF have not been defined. Several characteristics of the CF gastrointestinal (GI) tract, including inflammation, maldigestion and malabsorption, may promote intestinal dysbiosis. As GI microbiome activities are known to affect endocrine functions, the intestinal microbiome of infants with CF may also impact growth. We identified an early, progressive fecal dysbiosis that distinguished infants with CF and low length from infants with CF and normal length. This dysbiosis included altered abundances of taxa that perform functions that are important for GI health, nutrient harvest and growth hormone signaling, including decreased abundance of Bacteroidetes and increased abundance of Proteobacteria. Thus, the GI microbiota represent a potential therapeutic target for the correction of low linear growth in infants with CF."	
29232848	fecal 16S	Nutrients	A Metagenomic and in Silico Functional Prediction of Gut Microbiota Profiles May Concur in Discovering New Cystic Fibrosis Patient-Targeted Probiotics.	"Cystic fibrosis (CF) is a life-limiting hereditary disorder that results in aberrant mucosa in the lungs and digestive tract, chronic respiratory infections, chronic inflammation, and the need for repeated antibiotic treatments. Probiotics have been demonstrated to improve the quality of life of CF patients. We investigated the distribution of gut microbiota (GM) bacteria to identify new potential probiotics for CF patients on the basis of GM patterns. Fecal samples of 28 CF patients and 31 healthy controls (HC) were collected and analyzed by 16S rRNA-based pyrosequencing analysis of GM, to produce CF-HC paired maps of the distribution of operational taxonomic units (OTUs), and by Phylogenetic Investigation of Communities by Reconstruction of Unobserved States (PICRUSt) for Kyoto Encyclopedia of Genes and Genomes (KEGG) biomarker prediction. The maps were scanned to highlight the distribution of bacteria commonly claimed as probiotics, such as bifidobacteria and lactobacilli, and of butyrate-producing colon bacteria, such as  spp. and  The analyses highlighted 24 OTUs eligible as putative probiotics. Eleven and nine species were prevalently associated with the GM of CF and HC subjects, respectively. Their KEGG prediction provided differential CF and HC pathways, indeed associated with health-promoting biochemical activities in the latter case. GM profiling and KEGG biomarkers concurred in the evaluation of nine bacterial species as novel putative probiotics that could be investigated for the nutritional management of CF patients."	28
23867070	fecal 16S	Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society	Amoxicillin-clavulanic acid resistance in fecal Enterobacteriaceae from patients with cystic fibrosis and healthy siblings.	"The present study set out to detect and identify amoxicillin-clavulanic acid (AMC)-resistant Enterobacteriaceae in fecal samples of two patients with cystic fibrosis (CF) and their respective siblings. Fecal Enterobacteriaceae were enumerated onto EMB agar containing amoxicillin (AMX). A total of 173 CF isolates and 41 sibling isolates were grouped into seven Matrix-Assisted Laser Desorption Ionization-Time of Flight Mass Spectrometry (MALDI-TOF MS) clusters and identified through 16S rRNA and rpoB sequence analysis. The fecal microbiota of patients with CF revealed a higher prevalence of AMX resistant Enterobacteriaceae compared to that of their healthy siblings. Whereas all selected isolates of healthy siblings were assigned to Escherichia coli, isolates of patients with CF belonged to Klebsiella oxytoca (58.4%), E. coli (28.3%), Klebsiella variicola (7.5%) or Citrobacter sp. (5.8%). All tested CF isolates showed a high resistance rate to AMX, and a lower level of resistance to the combination with clavulanic acid. In contrast, all tested sibling isolates were susceptible for both AMX and AMC. The higher abundance of AMX resistance in the investigated patients with CF suggests that frequent AMC administration may be one of the major contributing factors in the proliferation of Enterobacteriaceae and the development of resistant strains in the gastrointestinal tract."	173
37813785	fecal 16S	Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society	Changes in fecal lipidome after treatment with ivacaftor without changes in microbiome or bile acids.	"Alterations in gastrointestinal health are prominent manifestations of cystic fibrosis (CF) and can independently impact pulmonary function. Ivacaftor has been associated with robust improvements in pulmonary function and weight gain, but less is known about the impact of ivacaftor on the fecal microbiome, lipidome, and bile acids. Stool samples from 18 patients with CF and gating mutations (ages 6-61 years, 13 pancreatic insufficient) were analyzed for fecal microbiome and lipidome composition as well as bile acid concentrations at baseline and after 3 months of treatment with ivacaftor. Microbiome composition was also assessed in a healthy reference cohort. Alpha and beta diversity of the microbiome were different between CF and reference cohort at baseline, but no treatment effect was seen in the CF cohort between baseline and 3 months. Seven lipids increased with treatment. No differences were seen in bile acid concentrations after treatment in CF. At baseline, 403 lipids and unconjugated bile acids were different between pancreatic insufficient (PI-CF) and sufficient (PS-CF) groups and 107 lipids were different between PI-CF and PS-CF after 3 months of treatment. The composition and diversity of the fecal microbiome were different in CF as compared to a healthy reference, and did not change after 3 months of ivacaftor. We detected modest differences in the fecal lipidome with treatment. Differences in lipid and bile acid profiles between PS-CF and PI-CF were attenuated after 3 months of treatment."	18
31209076	fecal 16S	Journal of bacteriology	Altered Stool Microbiota of Infants with Cystic Fibrosis Shows a Reduction in Genera Associated with Immune Programming from Birth.	"Previous work from our group indicated an association between the gastrointestinal microbiota of infants with cystic fibrosis (CF) and airway disease in this population. Here we report that stool microbiota of infants with CF demonstrates an altered but largely unchanging within-individual bacterial diversity (alpha diversity) over the first year of life, in contrast to the infants without CF (control cohort), which showed the expected increase in alpha diversity over the first year. The beta diversity, or between-sample diversity, of these two cohorts was significantly different over the first year of life and was statistically significantly associated with airway exacerbations, confirming our earlier findings. Compared with control infants, infants with CF had reduced levels of , a bacterial genus associated with immune modulation, as early as 6 weeks of life, and this significant reduction of  spp. in the cohort with CF persisted over the entire first year of life. Only two other genera were significantly different across the first year of life:  was significantly reduced and  was significantly increased. Other genera showed differences between the two cohorts but only at selected time points.  studies demonstrated that exposure of the apical face of polarized intestinal cell lines to  species supernatants significantly reduced production of interleukin 8 (IL-8), suggesting a mechanism whereby changes in the intestinal microbiota could impact inflammation in CF. This work further establishes an association between gastrointestinal microbiota, inflammation, and airway disease in infants with CF and presents a potential opportunity for therapeutic interventions beginning in early life. There is growing evidence for a link between gastrointestinal bacterial communities and airway disease progression in CF. We demonstrate that infants with CF ≤1 year of age show a distinct stool microbiota versus that of control infants of a comparable age. We detected associations between the gut microbiome and airway exacerbation events in the cohort of infants with CF, and  studies provided one possible mechanism for this observation. These data clarify that current therapeutics do not establish in infants with CF a gastrointestinal microbiota like that in healthy infants, and we suggest that interventions that direct the gastrointestinal microbiota closer to a healthy state may provide systemic benefits to these patients during a critical window of immune programming that might have implications for lifelong health."	?
38778229	fecal 16S	Pediatric research	"Faecal lipid profile as a new marker of fat maldigestion, malabsorption and microbiota."	"Fat malabsorption in children with cystic fibrosis (CF) leads to poor nutritional status and altered colonic microbiota. This study aimed at establishing the faecal lipid profile in children with CF, and exploring associations between the faecal lipidome and microbiota. Cross-sectional observational study with children with CF and an age-matched control group. Faecal lipidome was analysed by UHLC-HRMS and microbiota profiling by 16S rRNA amplicon sequencing. Among 234 identified lipid species, five lipidome clusters (LC) were obtained with significant differences in triacylglycerols (TG), diacylglycerols (DG), monoacylglycerols (MG) and fatty-acids (FA): LC1 subjects with good digestion and absorption: low TG and low MG and FA; LC2 good digestion and poor absorption: low TG and high MG and FA; LC3 Mild digestion and poor absorption: intermediate TG and high MG and FA; LC4 poor digestion and absorption: high TG and high MG and FA; LC5 outliers. Bacteroidota and Verrucomicrobiota decreased over LC1-LC4, while Proteobacteria increased. Nutritional status indicators were significantly higher in LC1 and decreased over LC2-LC4. Assessing faecal lipidome may be relevant to determine how dietary lipids are digested and absorbed. This new evidence might be a method to support targeted nutritional interventions towards reverting fat maldigestion or malabsorption. Lipidomic analysis enabled the identification of the lipid species related to maldigestion (triglycerides) or malabsorption (monoglycerides and fatty acids). Children with cystic fibrosis can be grouped depending on the faecal lipidome profile related to dietary fat maldigestion or malabsorption. The lipidome profile in faeces is related to the composition of microbiota and nutritional status indicators."	?
